id;altura;ano_de_construccion;balcon_terraza;banos;categoria;costos_de_mantenimiento;direccion_exacta;enviado;localizacion;m2;m2.1;m2_de_construccion;niveles;parking;piscina;piso_numero;precio;precio_m2_de_construccion;precio_m2_de_terreno;precio_m2;recamaras;tamano_del_lote;tipo_de_pisos;description;feature;land_sq_meter;title
16472959;;NA;;3.5;Casas;NA;;;;;NA;550;NA;7;;;NA;;;;3;;;"Home  pone a su disposicion esta moderna casa de dos plantas unica en su estilo arquitectonico  Lo mejor de esta propiedad es la vista y la integracion que tiene con la naturaleza  porque tiene salida directa a los senderos de la montana propiedad privada del Residencial  Desde el Hall de entrada se puede apreciar la amplitud de sus espacios naturalmente iluminados  que se encuentran todos integrados para formar parte de una unica vista desde la sala  terraza abierta  piscina climatizada y cocina hacia el Valle  La habitacion principal se encuentra en la planta baja junto con la sala familiar de TV estilo biblioteca que invita al descanso  lo que hace que la casa sea vivible en su plenitud en primer nivel  Solo las dos habitaciones secundarias se encuentran en la segunda planta  La habitacion principal forma un aparte de la casa separada para hacerla mas privada  Invita a un relax total con una terraza que se erige flotando en el aire y que se integra con el bosque privado de la propiedad y la vista infinita hacia el lado oeste del Valle Central 

Detalles 

 3 Habitaciones  La habitacion principal se encuentra en primera planta  Las dos habitaciones restantes en segunda planta 
 3 5 banos
 Hall de entrada
 Sala
 Comedor
 Sala de TV en primera planta 
 Cocina integrada con todos los electrodomesticos
 Terraza abierta
 Piscina climatizada
 Amplio Deck
 Area de servicio tipo apartamento equipado con area de cocina
 Area de lavado
 Bodega
 Parqueos  Dos bajo techo
 Vigilancia 24 7
 Mantenimiento

Amenidades 

 Casa Club
 Piscina
 Cancha de tenis
 Area de juegos para ninos

Servicios 

A pocos metros de la salida a la Ruta 27 en ambos sentidos mas un salida secundaria hacia Pozos de Sta Ana  Muy cerca de la Clinica Biblica y Hospital Metropolitano  A pocos Kms de Supermercados Mas x Menos  Automercado  Fresh Market  Vindi y Pricesmart 

www propertypv com
Mobile Home    506 8314 0028";Calentador de agua;NA;Casas en Santa Ana   Villa Real  Moderna  Vista  Iluminada  Piscina Propia   Arquitectura  Naturaleza
16476076;;2016;balcon;;Casas;NA;Calle Tiquicia  Concepcion  San Rafael de Heredia;12/10/2020;San Rafael;;NA;NA;2;;;;149000;993.33;425.71;;;350;Ceramica;"Ubicada entre San Pablo de Heredia y San Rafael  en Santiago de San Rafael 

Con acabados modernos  muebles de cocina con sobre de cuarzo  pisos de porcelanato  buena iluminacion natural y ventilacion natural 
Les ofrecemos excelentes opciones de financiamiento     contactenos 8829 6053"; Garaje techado  Sala y Comedor;NA;Casas en San Rafael   Casa nueva en Heredia San Rafael
16482329;;NA;;2.5;Casas;NA;La Guacima de Alajuela  Condominio Jardin Real;;Guacima;;NA;123;NA;2;;;145000;1,178.86;;;3;;;"Casa en Condomio Jardin Real  Guacima de Alajuela 
Un ano de construccion
3 cuartos
2 4 banos 
Parqueo para dos carros
70m2 de patio
123m2 de construccion";Dispensador de agua caliente;NA;Casas en Guacima   Hermosa y amplia casa en venta
16483240;Normal;2015;terraza;3.5;;600;Santa Ana Bosques de Lindora;;;;NA;NA;1;;;1;620000;1,722.22;785.80;;4;789;Ceramica;;;NA;
16483402;;2020;;2;;NA;Santiago de San Rafael de Heredia;;;;NA;130;1;2;no;;NA;1,038.46;882.35;;3;153;Porcelanato;;Cerca de Escuela  Pet Friendly  Patio  Calle sin salida;NA;
16483544;;NA;;;Casas;NA;;12/10/2020;San Rafael;;NA;130;NA;2;;;135000;;;;;;;"Ubicada entre San Pablo de Heredia y San Rafael  en Santiago de San Rafael 

Con acabados modernos  muebles de cocina con sobre de cuarzo  pisos de porcelanato  buena iluminacion natural y ventilacion natural 
Les ofrecemos excelentes opciones de financiamiento     contactenos 8829 6053";Cerca de Escuela  Pet Friendly  Patio  Calle sin salida  Garaje techado  Sala y Comedor;NA;Casas en San Rafael   Casa nueva en Heredia San Rafael
16509653;;NA;;;;NA;;;;;NA;NA;NA;;;;NA;;;;;;;; Cerca del Trafico  Vista a las Montanas  Parking de visitas  Seguridad 24 Horas  Salon de fiestas  Jardin  Parque Infantil  Desayunador  Patio  Calle sin salida  Sala y Comedor  Area Social  Area de BBQ;NA;
16539981;;NA;;;;NA;;;;;NA;NA;NA;;;;NA;;;;;;;"Quinta con casa en San Rafael de Guatuso  todo cerrado con malla  tiene un rancho trasero para actividades y cuenta con porton electrico de dos hojas  Se encuentra cerca de supermercados  bancos  farmacias y a 150 mts de el principal centro de salud del pueblo   El banco evaluo esta propiedad en 258 millones 

 Precio negociable 
Se acepta vehiculo de mi interes en el negocio ";Cerca de Escuela  Frente al Rio  Parking de visitas  Salon de fiestas  A C  Garaje techado;NA;Casas en Upala   Quinta con casa en San Rafael de Guatuso  Precio negociable 
16548980;;2017;terraza;4.5;;234000;Escazu;;;;NA;NA;2;;si;;1450000;2,449.32;1,928.19;;4;752;;;;NA;
16550447;;2010;;;Casas;35000;Residencial el Bosque;28/10/2020;Garita;;NA;NA;NA;;;;199000;802.41;391.73;;;508;;Por traslado se vende o alquila con opcion de compra   recononozco 100  del alquiler    Tres habitaciones con closet  la principal con walk in closet y bano privado  Cuarto de servicio con bano  Sala comedor  sala de TV  cocina con Isla   cuarto de lavado  bodega  acabados en granito  3 5 banos  3 balcones  Finos acabados  Parqueo para 2 vehiculos ; Vista a las Montanas  Parking de visitas  Cuarto y bano de empleada  Seguridad 24 Horas  2 o mas elevadores  Lavanderia interna  1 Studio  Deposito  Salon de fiestas  Jardin  Parque Infantil  Desayunador  Sala y Comedor  Area Social  Walk in closet  Area de BBQ  Lobby;NA;Casas en San Rafael   Exclusivo Penthouse en Condominio 9 10  un proyecto de CONCASA
16552659;2,4;1995;terraza;;;NA;San Marino N 22;;;;NA;NA;1;;;;NA;₡389,705;₡389,705;;;136;Laminado;;;NA;
16608863;9;2010;;2.5;Casas;130000;Curridabat;23/10/2020;Ciudad Curridabat;;NA;210;NA;2;;;90000;937.50;750.00;;;120;;"LISTA EN 1 MES  ESTRENE DICIEMBRE 2020 Y ESCOJA ACABADOS    APLICAN CONDICIONES  Fotos del desarrollador  conozco la casa hoy mismo
3 habitaciones   oficina   Balcon 
habitaciones amplias

CONSULTE POR DISENOS PERSONALIZADOS Y PRESUPUESTO 
Moderna y Amplia Casa con las mejores amenidades y Acabados en la mejor Zona de TRES RIOS  Alta Plusvalia  Le Mejor Ubicacion cerca de colegios  supermercados y facil acceso  

El condominio cuenta ademas con  
Piscina Temperada
Zona de relajacion
Parque de ejercicio 
Gimnasio 
cancha de tenis 
Jacuzzi bajo techo
parque de mascotas
piscina infantil
ciclovia
Area de solarium  sala de reuniones y sala de eventos ";Dispensador de agua caliente  Calentador de agua;NA;Casas en La Union Tres Rios   Estrene Casa Este Diciembre en Condominio  Tres Rios
16620181;;2015;;;;307;GUACHIPELIN;;;;NA;NA;2;;si;;NA;1,531.98;1,501.65;;;303;Porcelanato;;;NA;
16623036;;2010;;2.5;;130;Heredia San Joaquin de Flores;;;;NA;180;2;2;no;;185500;1,030.55;927.50;;3;200;Ceramica;;Cerca de Escuela  Pet Friendly;NA;
16640082;;2020;;;Casas;NA;Residencial Colinas del viento;27/10/2020;Rio Segundo;;NA;NA;1;;;;86885.24590163934;₡883,333;₡212,000;;1;250;;"VENDO COMODA PROPIEDAD DE OPORTUNIDAD 


PRECIO DE VENTA DE OPORTUNIDAD  94 000 000  Rebajada monto avaluo 101 000 000 hace dos anos  valor del mercado 105 000 000

Precio de Alquiler con opcion de compra  1200 USD   Deposito de Garantia  negociable 

  Vendo o Alquilo  con o sin opcion de compra   Precio de venta directa  94 millones   

Hermosa casa  muy amplia y ubicada en una excelente zona de alta plusvalia y facil acceso a todo Montes de Oca  San Ramon de Tres Rios  San Rafael  Sabanilla  San Pedro y El Carmen de Guadalupe 

La propiedad consta de una sola planta para mayor comodidad  donde cada una de las areas fueron creados para generar un gran confort  Los espacios  cielos altos y los detalles son los protagonistas principales de la casa  acompanados de una excelente distribucion y en una zona con clima montanoso y lejos del ruido de la ciudad  pero a solo 5 minutos de la UCR  U Latina  Fidelitas  etc   y principales centros de compras de la zona 

El inmueble le dara la mejor estadia  ya que ademas de estar en un hermoso condominio  cuenta con un excelente mantenimiento y con una comodisima cuota  ademas de una gran seguridad 

CARACTERISTICAS DE LA PROPIEDAD 

 Casa de 1 Planta
 3 Habitaciones  Principal con Bano y Tina   Walk in Closet  Hab  Con closet
 2 Banos con muebles con sobre de marmol
 Amplia Sala
 Comedor
 Cocina Amplia con muebles con sobre de Granito y Cocina Empotrada 
incluida 
 Terraza con terrario interno
 Jardin delantero
 Area de Lavado
 Atico
 Garaje para 2 Estacionamientos Internos

Facilidades del Condominio  Calles adoquinadas  Planta de Tratamiento  Seguridad con camaras  Cancha de Futbol 5  Gimnasio  Parque infantil  Parqueo de visitas  Salon de eventos  Area de BBQ  ranchos   Parque con estanque para patos  intercomunicador  areas verdes 

Precio de Alquiler o de Alquiler con opcion de compra  1200 USD   Deposito de Garantia  negociable 


  Vendo o Alquilo  con o sin opcion de compra  

WhatsApp   506 8707 0022 del dueno directo  conversemos ";Estufa  Dispensador de agua caliente  Calentador de agua;NA;Casas en Goicoechea   Dueno Vende o Alquila Hermosa Casa de una Planta en Condominio Lomas de Montes de Oca
16664489;;NA;;3;Casas;NA;HEREDIA  CERCA DEL COMERCIO  CARRETERAS PRINCIPALES;27/10/2020 26/10/2020;Ulloa;;NA;160;NA;2;;;250000;1,562.50;1,000.00;;3;250;;"tiempo de oportunidades  

Agradesco y aprecio su contacto    sera una alegria ayudarle a encontrar   la casa de sus suenos  Financiada  
Puedo mostrar casas de oferta de momento  en el mismo residencial 
o otros residenciales similares 

250 000
Hermosa casa en condominio Francosta  Terreno de 338 m2  160 m2 de construccion  casa independiente  amplia  comoda  de una planta  con prevista para dos plantas   construccion de alta calidad  con muebles con sobre de granito y quarzo  muy iluminada con luz natural  Consta de sala  comedor  cocina  cuarto de lavado  2 banos completos  3 amplios cuartos con closet  cuarto principal con walking closet y bano   Patio y jardin con sistema de riego automatico alrededor de toda la propiedad  Cochera para 2 carros 

El condominio cuenta con seguridad 24 7  electrificacion subterranea  multiples zonas recreativas  juegos infantiles  gimnasio  casa club con amplio salon para actividades  capacidad de hasta 120 personas   senderos  parque para perros  lago  zona de gimnasio al aire libre  canchas de tenis  basquet  y futbol 5  amplio rancho de reuniones y BBQ 

Excelente ubicacion  A 5 minutos de la autopista General Canas y a 15 minutos del aeropuerto Juan Santamaria  Cerca de las principales zonas francas  hospitales  colegios  centros comerciales y supermercados ";;NA;Casas en Ulloa   La casa de sus suenos Oportunidad  Financiada  Heredia   Residencial Francosta 
16679631;;NA;;;;NA;;;;;NA;NA;NA;;;;NA;;;;;;;"GRUPO GLOBAL HOUSE COSTA RICA

SE VENDE APARTAMENTO TIPO CASA ALAJUELA SIN TRAMITE BANCARIO EN CONDOMINIO CON PISCINA Y GIMNASIO";Cerca de Escuela  Pet Friendly  Parking de visitas  Seguridad 24 Horas  Lavanderia interna  Salon de fiestas  Parque Infantil  Gimnasio  Patio  Sala y Comedor  Area Social  Area de BBQ  Planta Electrica  Jacuzzi;NA;Casas en Alajuela Centro   Sin tramites bancarios Compre su casa en Condominio Alajuela con piscina y gimnasio
16684467;;2016;;2;Casas;NA;;26/10/2020;Catedral;;NA;90;NA;1;no;2;73770.4918032787;₡500,000;;;5;;Ceramica;"Preciosa casa en Pozos  ubicado en calle tranquila  con acceso a escuelas  centros comerciales y demas 

La casa tiene hermosos acabados  cuenta con un porton electrico de acceso  muebles de cocina de madera con sobre de granito  enchapes de ceramica y porcelanato en las paredes de los banos 

Descripcion de la propiedad

Primer nivel 
Cochera para dos vehiculos  sala  comedor y cocina integrada  area para sala de TV o area de juegos  cuarto de pilas  amplia bodega  patio externo  2 habitaciones secundarias y banos completo 

Segundo nivel 
Habitacion principal con closets de pared a pared  closet de zapatos y bano completo 

No pierda la oportunidad de ver esta hermosa casa  llamenos y agende una visita al  86741489 Esta ubicada en un barrio tranquilo y bonito  cerca de varios centros educativos y templos de diferente denominacion religiosa 
La casa es de dos plantas  Esta muy bien distribuida y cuenta con dos banos completos  4 cuartos y un espacio para oficina biblioteca 
Valor  45 000 000 de colones 
Se atienden llamadas a partir de las 4 00 p m 
La casa unicamente se muestra con cita previa ";;NA;Casas en Santa Ana   Casa independiente 3 dormitorios   Pozos Santa Ana Casas en Catedral   Vendo casa en San Jose Plaza Gonzalez Viquez
16704238;;NA;;;Casas;NA;;16/10/2020;San Rafael;;NA;NA;NA;;;;NA;;;;;;;"Casa moderna con los mejores y finos acabados  cuenta con zonas verdes amplias  
En un ambiente seguro y tranquilo rodeado de naturaleza 

Beneficios 

Tiene aposentos amplios 

Ventanearia de PVC lujo 

Chimenea  

Bomba de agua con tanque de 2500 litros 

Portones de acceso electricos 

Perimetro completo con tapia 

Bomba de agua 

Jardines hermosos y en perfecto mantenimiento 

El Residencial Posee seguridad 24 7 


El Residencial cuenta con un proyecto de vivienda con 22 propiedades y 11 casa lujosas todas vendidas 

Posee con una reserva Ecologica para el disfrute de la familia 

Avaluo  924 000 


Brindamos asesoria y acompanamiento en los tramites bancarios 

Sin costo adicional 


Se muestra con cita previa "; Cerca del Trafico  Parking de visitas  Seguridad 24 Horas  Jardin  Desayunador  Patio  Garaje techado  Sala y Comedor  Walk in closet;NA;Casas en San Jeronimo   Lujosa Casa en Residencial  San Jeronimo  Moravia 
16733232;;NA;;2;Casas;NA;;21/10/2020;;;NA;189;NA;2;no;;NA;;;;3;;Ceramica;"Casa ubicada en un muy seguro residencial  con seguridad y un precio de oferta 

Ubicada a minutos de los principales centros urbanos  de trabajo y estudio 

Caractristicas  

  189m2 area habitable 

  205m2 terreno 

  3 habitaciones 

  2 banos 

  2 espacios de parqueo 

  A C 

  Terraza 

  Acabados en ceramica 

Precio  150 000

Codigo  OB06

Agente  Oscar Bravo";Dispensador de agua caliente  Calentador de agua;NA;Casas en Moravia   CASA VENTA ALTA MORAVIA SAN JOSE OB06
16739613;;NA;balcon;;Casas;NA;;23/10/2020;Uvita;;NA;NA;2;;;;133500;1,026.92;517.44;;;258;;"No solo hablamos de vivir en paz y tranquilidad  sino de tener un encuentro cercano con la naturaleza 

Ubicado en Pacuarito  un pueblo tranquilo donde se encuentra Playa Dominical a solo 30 minutos y el centro de Perez Zeledon a solo 15 minutos 

Esta maravillosa propiedad tiene el 70  de la montana donde encontrara una gran variedad de flora y fauna  es comun ver tucanes  loros y otras aves al amanecer  tambien tiene muchos arboles frutales para alimentarse directamente de su tierra durante todo el ano  hay guayaba  cas  mamon chino  nisperos  manzana rosa  platano  yuca y maracuya  

Ahora la hermosa casa  no solo tiene excelentes cimientos antisismicos  sino que tambien tiene una gran terraza donde la espectacular vista a la montana te deja hipnotizado  debido a su ubicacion  una excelente brisa corre durante gran parte del dia  tiene 3 dormitorios  2 banos  cocina  sala de estar y espacio para muchos autos  incluso hay una antena grande cerca para internet de alta velocidad  Y lo mejor de todo  la casa esta TOTALMENTE AMUEBLADA 

Ademas de la casa hay un mini apartamento para invitados y una bodega tipo taller para multiples usos  la propiedad tiene una gran puerta frontal para mayor privacidad y seguridad";Nevera  Microondas  Estufa  Lavadora;NA;Casas en San Isidro del General   Hermosa casa a la venta con finca en Pacuarito  Perez Zeledon
16743660;;2020;;2;Casas;NA;Santiago de San Rafael de Heredia;12/10/2020;San Rafael;;NA;NA;1;;no;;135000;1,038.46;882.35;;3;153;Porcelanato;"Home  pone a su disposicion esta moderna casa de dos plantas unica en su estilo arquitectonico  Lo mejor de esta propiedad es la vista y la integracion que tiene con la naturaleza  porque tiene salida directa a los senderos de la montana propiedad privada del Residencial  Desde el Hall de entrada se puede apreciar la amplitud de sus espacios naturalmente iluminados  que se encuentran todos integrados para formar parte de una unica vista desde la sala  terraza abierta  piscina climatizada y cocina hacia el Valle  La habitacion principal se encuentra en la planta baja junto con la sala familiar de TV estilo biblioteca que invita al descanso  lo que hace que la casa sea vivible en su plenitud en primer nivel  Solo las dos habitaciones secundarias se encuentran en la segunda planta  La habitacion principal forma un aparte de la casa separada para hacerla mas privada  Invita a un relax total con una terraza que se erige flotando en el aire y que se integra con el bosque privado de la propiedad y la vista infinita hacia el lado oeste del Valle Central 

Detalles 

 3 Habitaciones  La habitacion principal se encuentra en primera planta  Las dos habitaciones restantes en segunda planta 
 3 5 banos
 Hall de entrada
 Sala
 Comedor
 Sala de TV en primera planta 
 Cocina integrada con todos los electrodomesticos
 Terraza abierta
 Piscina climatizada
 Amplio Deck
 Area de servicio tipo apartamento equipado con area de cocina
 Area de lavado
 Bodega
 Parqueos  Dos bajo techo
 Vigilancia 24 7
 Mantenimiento

Amenidades 

 Casa Club
 Piscina
 Cancha de tenis
 Area de juegos para ninos

Servicios 

A pocos metros de la salida a la Ruta 27 en ambos sentidos mas un salida secundaria hacia Pozos de Sta Ana  Muy cerca de la Clinica Biblica y Hospital Metropolitano  A pocos Kms de Supermercados Mas x Menos  Automercado  Fresh Market  Vindi y Pricesmart 

www propertypv com
Mobile Home    506 8314 0028";Calentador de agua;NA;Casas en Santa Ana   Villa Real  Moderna  Vista  Iluminada  Piscina Propia   Arquitectura  Naturaleza
16750261;;NA;;8;Casas;NA;;23/10/2020 21/10/2020;Santa Barbara Quepos;;NA;797;NA;Más;;;850000;1,066.49;;;10;;;"Nos encontramos ubicados estrategicamente cerca de Zonas francas de Heredia  muy cerca de Cerveceria Costa Rica y del Aeropuerto 

Total area del terreno  1 897 m2
Total de area construida   797 m2 

Precio  850 000 dolares americanos 

Todas las casas se venden sin menaje  


Casas 1 2  Area 455 m2 Una casa en planta alta y otra en planta baja 
Planta baja  3 habitaciones  4 banos  sala  comedor  cocina  pilas  bodega  despensa  En planta alta  2 habitaciones  1 bano  sala  comedor  cocina  pilas  bodega  terraza 
Ademas existen 3 habitaciones con su bano privado de 21m2  21m2 y 23m2  Dichas habitaciones se encuentran rentandas 

Casas 3 4  Area 142 m2  En planta baja  Casa 1 habitacion y 1 bano  sala  comedor  cocina  lavanderia y terraza 
En planta alta  Casa 2 habitaciones  1 bano  sala  comedor  cocina  lavanderia y terraza

Casas 5 6 7 8  200 m2  Estudios tipo loft con lavanderia compartida 

Todas las casas tienen aire acondicionado 

Ademas la propiedad cuenta con 2 bodegas amplias  aceras  parqueos  calle de concreto  tapias de cerramiento en block y hermosos jardines 

Todas se encuentran rentadas  Las fotos son ilustrativas  se venden sin menaje 

Se puede utilizar al area de piscina y ranchos por 40 de cuota mensual por casa 

Venga a conocer esta belleza de propiedad y enamorese  Disfrute de la paz de este lugar 

Bienvenidas Agencias de correduria formales  Comision maxima  2 5  

Para informes  Con Gustavo Segura 7016 7950 ";;NA;Casas en Santa Barbara   INVERSIONISTAS  8 BELLAS CASAS ALQUILADAS
16752838;;NA;terraza;2;Casas;NA;;23/10/2020;San Isidro del General;;NA;130;2;1;si;2;219000;876.00;598.36;;3;366;;Casa de 2 pisos y 3 dormitorios y piscina ubicada a corta distancia del Parque Nacional Marino Ballena  Esta casa fue construida para durar para siempre con toda la estructura hecha de cemento chorreado y acero  Las paredes del piso superior son de madera de teca redonda que proporciona un gran aislamiento del calor ademas de estar equipada con aire acondicionado en las habitaciones  Cada piso fue construido para ser utilizado de manera independiente  lo que significa que cada uno tiene entrada distinta  cocina  bano y cuarto de lavado  El lugar se ve impecable  especial para casa de vacacionar  complejo de renta o residencia permanente ;Area Social;NA;Casas en Uvita   Casa de dos piso a la venta en Uvita 
16752987;;NA;;5;Casas;NA;;30/10/2020;Escazu;;NA;587;NA;6;;;NA;;;;6;;;"MAJESTUOSA CASA DE LUJO A MUY BUEN PRECIO EN RESIDENCIAL EXCLUSIVO EN TRES RIOS 

Cuenta con 6 cuartos  todos sumamente amplios con walking closet y sus respectivos banos  garage para mas de 6 autos  sala con preciosa chimenea con cielos artesanados la cual hace muy acogedora la casa  terrazas que rodean la casa con vistas a los jardines y a las montanas  amplia cocina con sus muebles con acabados del mas alto nivel  cuarto de servicio completo  

La casa cuenta con acabados de lujo en toda la propiedad  completamente rodeada de areas verdes  preciosa fuente que le da frescura a la casa 

El condominio cuenta con infraestructura de primera  como calles adoquinadas  cableado electrico subterraneo  canchas de tennis  campo de golf  casa club con piscina  gimnasio  vestidores y banos  areas verdes y boscosas  acceso restringido y seguridad 24 7 con acceso controlado 

Cuota de mantenimiento 500 dolares por mes  se aceptan mascotas 
Cerca de centros educativos  centros comerciales  trasporte publico  acceso a todos los servicios 

Somos asesores inmobiliarios profesionales  contactenos  le daremos el mejor de los servicios ";Calentador de agua;NA;Casas en Ciudad Curridabat   Hermosa Casa de Lujo en Curridabat   194070
16758064;;2015;;3.5;;NA;Curridabat;;;;NA;440;2;Más;no;;573000;1,302.27;963.02;;4;595;;;;NA;
16774766;;NA;;2;Casas;NA;;19/10/2020;Liberia;;NA;157;NA;2;;;40983.60655737705;₡520,833;;;2;;;"Ubicado en el condominio bosques del cafe 
Casa modelo B 
4 anos de construccion 
Preciosas amenidades 
Casa club 
Piscina 
Play 
Areas verdes 
Vista 
Senderos  proximamente 
 Modalidad lote y construccion  48 m de construccion  lote de 250m2  dos banos  dos cuarto principal 12 76m2 y el segundo 10  2m2  muy amplios  con posibilidad de ampliar la casa  sala comedor y cocina  Lugar tranquilo  seguro  a 4 minutos de Liberia centro  La venta de la casa es de contado sea bancario o recursos propios  no se recibe vehiculo ni propiedades ";Microondas  Estufa  Lavaplatos  Dispensador de agua caliente  Calentador de agua;NA;Casas en San Rafael   Town House Bosques del Cafe Casas en Liberia   Venta Casa Totalmente nueva en Liberia
16778441;;2004;terraza;3.5;;260;;14/10/2020;Santa Ana;;NA;550;NA;7;si;;1500000;2,727.27;8,474.57;;3;177;;;;NA;
16783731;;2019;;2.5;Casas;NA;;21/10/2020;Atenas;;NA;182;NA;2;;;310000;1,703.29;184.63;;3;1679;;"Casa de una sola planta
 Ubicado en Yoses por Iglesia Fatima 
 Centrica  cerca de plazas   supermercados   farmacias etc
 Habitaciones 3
 Banos 2 5
 Sala 
 Sala comedor 
 Cocina 
 Area de pilas 
 Sala de tv 
 Parqueos 2  bajo techo   porton electrico 
 Terreno 290mts
 Construccion 290 mts 
 Genera 1000 dolares mensuales
 Precio de venta 189 mil dolares 
 Informacion al 7059 0511   7163 7857";Cerca de Escuela  Parking bajo techo  Parking de visitas;NA;Casas en San Pedro   Venta de casa en los Yoses
16789699;2.70;2017;balcon;1;;55000;Alajuela  Guacima  Rincon Chiquito  Condominio Malinches Filial 44;;;;NA;100;1;2;si;2;NA;;₡450,000;;2;100;Porcelanato;;Cerca de Escuela  Pet Friendly  Cerca del Trafico;NA;
16797150;;2020;terraza;5;;NA;;;;;NA;750;1;10;si;planta baja;NA;;;;4;;;;;NA;
16807156;2.40;NA;;1;Casas;NA;costado sur de la Escuela de Coope Rosales  Quircot  San Nicolas;26/10/2020;Occidental;;NA;52;1;2;no;1;64754.098360655735;₡759,615;₡280,141;;2;141;Porcelanato;"Ubicados a 15 minutos de Curridabat y a 10 minutos de Cartago Centro se encuentra el Residencial Celajes Azules  un lugar rodeado de Naturaleza y con la cercania suficiente para el desplazamiento hacia su sitio de trabajo o estudios  una zona tranquila donde descansar y un lugar ideal para comprar su casa 

 Area de construccion de 52 m2 segun CFIA
 Lotes desde los 140 m2
 Distribuidas con Sala  comedor  cocina  2 habitaciones un bano
 Area de lavanderia
 Amplio patio
 Espacio para 2 vehiculos
 Cierre perimetral con tapias prefabricadas 
 Frentes de 7m lineales 
 Acabados de lujo 
 pisos en porcelanato
 Pet friendly 
 playground
 Facil acceso a servicio de transporte publico
 Facil acceso a comercio y servicios oki publicos 
 
Acceso para entrada y salida por 4 puntos  la Angelina  Rancho Redondo  San Ramon de Tres Rios o La Florencio del Castillo 
 Horario de atencion de llamadas y whats app 24 7
 Horario de visita amplio con cita previa 
 informacion al 84896161";Cerca de Escuela  Pet Friendly  Cerca del Trafico  Parque Infantil  Sala y Comedor;NA;Casas en Occidental   Venta de casa en Cartago 84896161 Quircot
16823647;;NA;terraza;3.5;;NA;;;;;NA;396;NA;4;no;planta baja;NA;;;;4;;Ceramica;;Nevera  Estufa  Lavaplatos  Dispensador de agua caliente;NA;
16833755;;NA;;;Casas;NA;;1/11/2020;;;NA;NA;NA;;;;NA;;;;;;;Casa 2 plantas 3 cuartos 2 5 banos cochera para dos carros amplio patio condominio seguidad 24 7 gimnasio piscina; Seguridad 24 Horas  Salon de fiestas  Jardin  Parque Infantil  Gimnasio  Desayunador  Garaje techado  Sala y Comedor  Area Social  Area de BBQ  Planta Electrica;NA;Casas en Dulce Nombre   Casa
16834274;;NA;;2.5;;NA;;;;;NA;193;2;2;;;NA;;;;3;;Porcelanato;NUEVA TODA DE BLOCK CENTRICA SEGURA PRIVACIDAD CERCA DE TODO CENTROS COMERCIALES PARADAS FACIL ACCESSO MODERNA TRES DORMITORIOS CADA DORMITORIO CON SU CLOSET DORMITORIO PRINCIPAL CON bano pribado y WOKING CLOSET DOS BANOS Y MEDIO CON AGUA CALENTE toda la casa INODOROS ECOLOGICOS ECONOMISADORES DE AGUA DOS SALAS COCINA TOTALMENTE AMUEBLADA COCHERA DOS AUTOS PORTON ELECTRICO CONTROL REMOTO SIN CUOTA DE MANTENINIENTO ECT 88140404;Cerca de Escuela  Cerca del Trafico  Seguridad 24 Horas  Lavanderia interna  2 o mas estudios  Parque Infantil  Patio  Garaje techado;NA;
16841229;;NA;terraza;2;;NA;Residencial Alta Moravia;;;;NA;174;1;2;no;;NA;;919.54;;3;174;Ceramica;;;NA;
16842720;;NA;;2;Casas;NA;;21/10/2020;Colon San Pedro;;NA;250;NA;2;;;168634;674.53;;;2;;;"No pierda la oportunidad de vivir en Atenas  el mejor clima del mundo   en una casa de estreno con una excelente ubicacion  cerca al area comercial  Green Valley School  y calle principal 

Hermosa casa de 3 dormitorios  2 banos y medio  Dormitorio principal con walking closet y bano incorporado  2 dormitorios secundarios que comparten un bano completo  medio bano de visita  sala de TV  sala  comedor  cocina con sobre de granito y muebles de madera  cuarto de pilas  amplia y hermosa terraza  cochera para 2 carros techada y 8 espacios extra para visita  hermosa piscina y areas verdes 

Precio de alquiler  1350 USD
Precio de venta  315000USD

Llamenos para agendar una visita al 86741489 Se vende casa completamente nueva  construida con los mejores materiales y acabados  Cuenta con dos dormitorios  el dormitorio principal con su propio bano  Cuarto de visitas con su propio bano  Cada dormitorio cuenta con su propio closet  Una sala amplia  Comedor separado de la cocina  Cocina amplia con un mueble muy sofisticado  construido con sobre de granito y melamina  Cuarto de pilas  Garaje para dos carros  Por ser amplio el frente puede estacionarse un tercer carro en la zona verde  Cuenta con jardin al frente y jardin en la parte trasera  especial para realizar parrilladas o eventos familiares  Ubicada en un lugar de mucha seguridad y con accesos cercanos a bancos  clinica  restaurantes  cafeteria  parque  escuela  colegio  etc  Se ingresa por medio de una servidumbre de 50 metros exclusiva  para accesar a la casa de habitacion  

Cuenta con suficiente espacio  para la construccion de cualquier otro aposento 

Cualquier consulta llamar al 88903535"; Lavanderia interna;NA;Casas en Atenas   ALQUILER O VENTA   Casa de Estreno 3 dormitorios y piscina en Vista Atenas Casas en Colon   Venta de casa completamente nueva para estrenar
